article,summary
"Liputan6. com, Jakarta : Sejumlah pihak yang berkepentingan menghadiri acara serah terima jabatan di Departemen Komunikasi dan Informatika ( Depkominfo ) di Jakarta, Kamis ( 22/10 ). Satu di antaranya Direktur Utama SCTV Fofo Sariaatmadja. Stasiun televisi masuk dalam ranah kelola di Depkominfo. Mantan Menteri Komunikasi dan Informatika Muhamad Nuh menyerahkan tanggung jawabnya pada Tifatul Sembiring selaku menteri yang baru. Tak lupa Muhamad Nuh memberikan beberapa masukan pada Tifatul. Ini pun ditanggapi positif oleh pria yang mewakili Partai Keadilan Sejahtera. Fokus lain yang dikemukakan Tifatul adalah skala prioritas program 100 hari tentang pengadaan komputer dan penjagaan rahasia negara. Dalam serah terima jabatan di Departemen Perhubungan, Freddy Numberi sebagai pengganti Jusman Syafii Djamal bertekad membenahi berbagai tantangan. Antara lain kelalaian transportasi di darat, laut, dan udara [ baca : Pekerjaan Rumah Departemen Perhubungan Menumpuk ]. Simak berita selengkapnya di video. ( OMI/ANS ).","Serah terima jabatan di Departemen Komunikasi dan Informatika dihadiri sejumlah pihak, termasuk Direktur Utama SCTV. Program 100 hari terkait penjagaan rahasia negara menjadi skala prioritas Depkominfo."
"Liputan6. com, Lumajang : Seorang warga Desa Pajarakan, Lumajang, Jawa Timur, Selasa ( 31/8 ), tewas di tangan kawanan perampok berjumlah enam orang. Hartatik meninggal setelah dibacok perampok di bagian tangan dan kepala dipukul besi. Usai membunuh para perampok membawa kabur uang puluhan juta rupiah dan perhiasan emas. Kejadian berlangsung cepat. Sebelumnya korban hendak tidur sepulang tadarus. Tiba-tiba datang kawanan perampok bercadar menggedor pintu rumah Hartatik. Saat korban membuka pintu, sejumlah perampok memukul Naruku, suami korban. Hartatik langsung mendatangi sang suami hendak menolong. Malang usaha itu sia-sia. Kasus ini ditangani aparat kepolisian setempat. Sementara di Temanggung, Jawa Tengah, seorang nasabah bank dirampok usai mengambil Rp 200 juta. Diduga kawanan perampok yang mengendarai sepeda motor membuntuti mobil Teguh Budiono, warga Kertosari sejak keluar dari bank. ( AIS ).","Hartatik, istri Naruku tewas dibacok enam perampok yang beraksi di rumahnya di Lumajang, Jatim. Para perampok membawa kabur uang puluhan juta rupiah dan perhiasan emas."
"Liputan6. com, Temanggung : Cacat fisik ternyata tak menghalangi seseorang untuk berkarya. Terbukti para siswa Panti Rehabilitasi Sosial Bina Grahita ( PRSBG ) Temanggung, Jawa Tengah, bisa menghasilkan berbagai kerajinan tangan dengan hasil menakjubkan. Padahal, untuk membuat suatu perabot kerajinan tangan, mereka hanya menggunakan alat-alat tradisional. Hasil kerajinan seperti mobil-mobilan, kristik, peralatan meja tulis, tempat sampah, perahu, dan tenun. Hasil-hasil karya indah dari para penderita tuna grahita telah dipamerkan kepada Menteri Sosial Salim Assegaf Al Jufri di Aula PRSBG setempat, Sabtu ( 3/4 ) kemarin. Usai melihat pameran tersebut, Mensos Assegaf mengaku sangat terkesan. Sang menteri bahkan mengatakan di Kementerian Sosial ada dana untuk membiayai sekitar 2. 000 kelompok usaha bersama. Setiap kelompok mendapat bantuan Rp. 20 juta. Sedangkan untuk yang di pusat ada sekitar 4. 000 kelompok dengan jumlah angaran sekitar Rp. 150 miliar. Untuk daerah Jateng, Temanggung satu-satunya daerah yang akan mendapatkan bantuan program tersebut. Sementara untuk menjual hasil kerajinan tangan parasiswa PRSBG Temanggung tidak sulit. Sebab sudah didatangi para tengkulak. Harga jualnya bervariasi, tergantung jenis barang serta motifnya. Kendati demikian, hasil karya mereka itu rata-rata dijual dengan harga mulai dari Rp 10 ribu hingga Rp 25 ribu per buah. ( BJK/AYB ).","Cacat fisik ternyata tak menghalangi seseorang untuk berkarya. Terbukti para siswa Panti Rehabilitasi Sosial Bina Grahita ( PRSBG ) Temanggung, Jateng, bisa menghasilkan berbagai kerajinan tangan dengan hasil menakjubkan."
"Liputan6. com, Jakarta : Komite Pemulihan Ekonomi Nasional ( KPEN ) menilai pemeriksaan terhadap obligor penyelesaian kewajiban pemegang saham ( PKPS ) oleh Badan Penyehatan Perbankan Nasional ( BPPN ) sebagai langkah yang tepat untuk menuntaskan utang yang belum terbayar. Dengan begitu, kedua pihak dapat mengklarifikasi jumlah utang yang harus dibayar serta keberatan yang selama ini dikeluhkan obligor. Demikian disampaikan Ketua KPEN Sofyan Wanandi di Jakarta, Kamis ( 13/6 ) malam. Pengusaha nasional itu juga menilai batas waktu tiga bulan yang diberikan kepada obligor untuk memperbaiki status utang mereka sudah cukup. Sofyan juga mendukung adanya tindakan hukum bila setelah tiga bulan para obligor belum juga memperlihatkan kemajuan dalam menyelesaikan utang. "" Dengan begitu mereka memang benar-benar tidak kooperatif dan layak dihukum, "" tegas Sofyan. Mulai kemarin, memang, BPPN memeriksa obligor PKPS yang terbukti belum menyelesaikan utang mereka kepada pemerintah. BPPN menerima keberatan tiga obligor PKPS terhadap utang yang harus mereka bayar. Namun keberatan itu akan dicocokkan dengan temuan Tim Bantuan Hukum BPPN [ baca : Enam Obligor Kakap Dipanggil BPPN ]. Menurut Kepala Divisi Komunikasi BPPN Raymond van Bekuum, tahap pertama pemeriksaan dilakukan terhadap tiga obligor. Mereka masing-masing Thee Ning Khong, penanggung jawab bekas Bank Baja Internasional, Ganda Eka Handria, penanggung jawab eks Bank Sembada Arthanugroho atau Bank Sanho, serta Mulianto Tanaga dan Hadi Widjaja Tanaga, penanggung jawab bekas Bank Indotrade. Pemeriksaan melalui mekanisme Akte Pengakuan Utang itu berlangsung secara tertutup di Gedung Wisma Anggada, Jakarta. Setiap obligor diperiksa lebih kurang satu jam oleh Wakil Ketua BPPN Sumantri Slamet. Rencananya, Jumat ini, BPPN akan memeriksa tiga obligor lain yaitu Liem Hendra, penanggung jawab bekas Bank Budi Internasional, Fadel Muhammad dari Bank Intan, serta The Nin King, penanggungjawab eks Bank Danahutama. Para pengemplang utang itu diperiksa atas dugaan lalai menyerahkan data utang, lalai tidak menyerahkan agunan, tidak membayar bunga utang, dan tidak melakukan pengikatan jaminan. Tindakan mereka merugikan negara hingga ratusan miliar rupiah. Beberapa waktu silam, kuasa hukum 12 Bank Beku Kegiatan Usaha Hermawan Pamungkas menyatakan keberatan atas jumlah utang yang dibebankan oleh BPPN. Alasannya, angka yang diberikan BPPN terlalu besar, padahal utang mereka jauh di bawah angka tersebut. Utang Bank Mashill, misalnya hanya Rp 10 miliar. Tapi BPPN mengklaim utang bank yang kegiatannya dibekukan sejak 1999 itu mencapai Rp 61 miliar. Contoh lain, Bank Hastin Internasional mengaku berutang sekitar Rp 40 miliar, tapi versi BPPN mencapai Rp 196 miliar [ baca : Belasan Bank BBKU Menolak Utang versi BPPN ]. ( DEN/Christiyanto dan Agus Ginandjar ).",Pemeriksaan yang dilakukan BPPN terhadap obligor yang terbukti belum menyelesaikan utang dinilai langkah yang tepat. BPPN dan obligor bisa mengklarifikasi jumlah utang yang diperdebatkan.
"Liputan6. com, Jakarta : Partai Persatuan Pembangunan ( PPP ) tetap akan mengajukan interpelasi kepada pemerintah terkait masalah kelaparan jemaah haji saat berada di Padang Arafah dan Mina, Arab Saudi. PPP menilai masalah haji tak pernah beres. "" Gagasan interpelasi masih terus bergulir, "" kata Ketua Fraksi PPP Endin Soefihara di Jakarta, Senin ( 30/1 ). Menteri Agama Maftuh Basyuni telah meminta maaf terkait kelaparan jemaah haji saat berada di Padang Arafah, Arab Saudi. Maftuh menegaskan telah mengembalikan uang makan sebesar 300 real ke masing-masing jemaah. Namun, dia mengakui pengembalian uang tidak dapat menggantikan penderitaan jemaah [ baca : Maftuh Menjelaskan Kronologi Katering Haji ]. Selain masalah kelaparan, anggota Dewan juga mempermasalahkan hasil temuan tim pemantau haji DPR terkait kekacauan akomodasi termasuk transportasi yang dinilai merugikan jemaah yang membayar hingga Rp 26 juta. Penyelengaraan ibadah haji tahun 2006 memang carut-marut. DPR pun menganggap pemerintah gagal. ( JUM/Fajar Ilham dan Irfan Efendi ).",F-PPP tetap akan mengajukan interpelasi terkait masalah kelaparan jemaah haji meski Menag telah minta maaf. Anggota DPR juga mempermasalahkan terkait kekacauan akomodasi termasuk transportasi yang dinilai merugikan jemaah.
"Liputan6. com, Jakarta : Kecintaan terhadap seni membuat seniman grafis Yadi menjadikan kediamannya di Jalan Jembatan III Nomor 31, Balaikambang, Condet, Jakarta Timur, lebih mirip studio. Yadi mengkhususkan diri pada seni grafis di atas kertas hasil cetakan media lempeng batu, logam, dan kayu. Dia juga bisa mencetak dengan teknik sablon. Di rumahnya, sering berkumpul para peminat seni dari berbagai daerah untuk mempelajari teknik cetak dalam. "" Kebetulan saya punya mesin cetak dan saya pakai sendiri, tapi karena ingin berkembang, siapa saja boleh memakainya, "" kata Yadi di rumahnya, baru-baru ini. Yadi memang serius menularkan keahliannya kepada orang lain. Itulah sebabnya, dia bekerja sama dengan sebuah yayasan untuk mendatangkan para mahasiswa seni yang serius belajar cetak dalam. "" Yang dari Yogya kurang lebih 15 orang, ditambah yang dari Jakarta tiga atau empat orang, "" ujar Yadi. Untuk memperluas minat para penggemar seni grafis, Yadi juga sengaja tak membatasi peserta program hanya mahasiswa yang berasal dari jurusan seni grafis. Soalnya, menurut dia, setiap orang memiliki intuisi untuk menghasilkan sebuah karya seni. Justru keragaman latar belakang pendidikan dapat memberi warna pada hasil kreasinya kelak. "" Ada yang jurusan kriya, teater, dan jurusan lain-lain. Mereka minatnya besar untuk mengetahui grafis. Itulah yang sangat menyenangkan buat saya, "" ucap Yadi. ( ZAQ/Tim Liputan 6 SCTV ).",Di rumahnya sering berkumpul para peminat seni dari berbagai daerah untuk mempelajari seni grafis cetak dalam. Yadi membuka peluang kepada seluruh mahasiswa dari berbagai jurusan.
"Liputan6. com, Bangka Barat : Bupati Bangka Barat, Parhan Ali, mengunjungi Rezki Tiarahal, seorang bayi asal Desa Ranggi Asam, Kecamata Jebus, Kabupaten Bangka Barat, Bangka Belitung, yang terlahir cacat, Kamis ( 13/5 ) siang. Rezki yang mengidap hidrocepalus tidak hanya kepalanya yang membesar, tapi bentuk wajahnya tidak sempurna seperti bayi normal lainnya. Kondisi mulut Rezki juga tidak bisa menutup dan terlihat jelas batas antara dinding mulut dan hidung, amandel dan leher bagian atas juga terlihat. Bahkan dari hidung rezki tampak rata dan bolong lebar, serta terlihat kelenjar hidungnya. Sebelumya Rezki pernah dirujuk ke Rumah Sakit Cipto Mangunkusumo, Jakarta, atas bantuan dari Pemda setempat. Di rumah sakit tersebut, Rezki didiagnosa mengidap hidrocepalus dan virus toxso plasma yang berasal dari bulu hewan seperti kucing serta ayam. Ternyata ketika ibunda Rezki mengandungnya, ia mengidap virus toxso plasma, sehingga menyebabkan pertumbuhan organ tubuh Rezki tidak tumbuh dengan sempurna sampai ia dilahirkan. Untuk memperbaiki wajah agar lebih sempurna, Rezki harus menjalani operasi yang kedua di Rumah Sakit Cipto Mangunkusumo. Orangtua Rezki sedikit lega, pasalnya bupati setempat, memastikan biaya operasi hingga akomodasi dari Bangka ke Jakarta ditanggung oleh Pemda tersebut. Hal itu dipastikan oleh Parhan Ali bupati setempat, saat berkunjung di rumah Rezki. Rencananya Rezki Tiarahal akan menjalani operasi yang kedua pada Bulan Agustus nanti. ( IDS/ARI ).","Seorang bayi berusia tujuh bulan di Bangka Belitung, terlahir cacat hampir tidak memiliki bentuk wajah seperti layaknya bayi normal. Untuk operasi kedua, akhirnya ia mendapatkan bantuan dari Bupati setempat."
"Jadi pemain bintang dan figur publik, memang gampang-gampang susah. Penampilannya di dalam dan luar lapangan selalu jadi sorotan khalayak ramai. Itulah yang kini sedang mendera Ronaldinho, superstar asal Brasil yang bermain bersama Barcelona. Kegiatan Ronaldinho yang kini sering keluyuran di malam hari dituding jadi biang keladi buruknya performa mantan pemain Paris St Germain di laga-laga awal La Liga musim ini. Dalam tiga pertandingan terakhir yang diikutinya, Ronaldinho tak mampu “ berdiri di lapangan ” sampai menit terakhir. Pelatih Frank Rijkaard selalu menariknya di pertengahan babak kedua. Absennya Ronaldinho saat laga big-match lawan Sevilla, Sabtu lalu, memicu spekulasi ia bakal diboyong ke Stamford Bridge di bursa transfer musim dingin Januari 2008 mendatang. Harian The Sun mengklaim pemilik Chelsea, Roman Abramovich telah berhasil membuat kesepakatan kontrak selama lima tahun dengan Ronaldinho senilai 58 juta pound ( sekitar Rp 1, 073 triliun ). Artinya, bersama The Blues Ronaldinho bakal mendapat gaji sebesar 11, 6 juta pound ( Rp 214, 6 miliar ) per tahunnya. Atau, setiap minggu Ronaldinho menerima bayaran sebesar kurang lebih 223 ribu pound ( Rp 4, 125 miliar ), 88 ribu pound lebih tinggi dibanding yang didapat kapten tim, John Terry. Namun, kabar tersebut ditanggapi dengan dingin oleh agen sekaligus kakak Ronaldinho, Roberto de Assis Moreira. “ Saya sering mendengar cerita tentang tindakannya di malam hari. Saya tidak mau berkomentar. Sebab, bersama Barca ia masih terikat kontrak selama empat tahun, ” tegas Roberto seperti yang dikutip AFP. Roberto justru menuding adanya pihak tertentu yang berupaya menjatuhkan imej adiknya. “ Saya yakin kini banyak bertebaran publikasi negatif terkait Ronaldinho, ” imbuhnya. Sementara itu, mendukung simpati yang dilontarkan Gianluca Zambrotta, Presiden Barcelona, Joan Laporta, meminta semua pihak untuk membantu Ronaldinho keluar dari krisis dan isu isolasi. Laporta mengakui saat ini Ronaldinho butuh bantuan untuk mengembalikan kondisi terbaiknya. “ Ia didekap cedera. Kini ia sedang dalam proses recovery dari cedera betisnya dan bertekad bisa kembali fit saat laga melawan Stuttgart, ” ujar Laporta. Artinya, selain absen dalam partai mid-week menjamu Real Zaragoza di Nou Camp, Rabu besok, Ronaldinho pun tak bisa memperkuat barisan Rijkaard ketika melakoni partai away di Ciudad de Valencia, menantang Levante, Sabtu, 29 September.","Hobi keluyuran di malam hari dituding jadi biang keladi buruknya performa Ronaldinho di awal musim. Agen Ronaldinho mengklaim kliennya mulai terisolasi. Presiden Barcelona, Joan Laporta angkat bicara dan meminta semua pihak membantu Ronaldinho."
"Liputan6. com, Semarang : Ramadan memang bulan penuh berkah. Hal ini dialami sejumlah perajin seni menulis ayat-ayat Alquran atau kaligrafi fiberglass dan lukisan bernuansa Islam di kawasan Jalan Tembalang, Semarang, Jawa Tengah. Pasal, pada bulan suci ini omzet penjualan mereka meningkat hingga 50 persen. Menurut Darwito, seorang perajin, baru-baru ini, biasanya pada Ramadan ini banyak masyarakat yang membeli karya-karya kaligrafi. Biasanya, karya yang paling diminati pembeli di antaranya ayat kursi dan lukisan Kota Madinah, Arab Saudi. Mengenai harga, dia mengungkapkan, harga sebuah karya kaligrafi cukup bervariasi antara Rp 1 hingga Rp 2 juta. Uniknya, kaligrafi yang dihasilkan di daerah ini berbeda dengan karya kaligrafi lainnya. Menurut Darwito, kaligrafi yang dihasilkan berbahan baku serat fiberglass, sehingga tampilan ayat-ayat Alquran yang muncul dalam bentuk tiga dimensi. Biasanya, ayat-ayat Alquran yang digoreskan, dipercantik garis-garis tinta emas. Akibatnya, obyek lukisan tampak lebih mudah terbaca dan indah dipandang. "" Karya kaligrafi yang ide pembuatannya dua tahun silam itu kini telah tersebar di sejumlah kota besar di Tanah Air, "" ujar Darwito. ( ORS/Yudi Sutomo ).","Selama Ramadan omzet perajin kaligrafi fiberglass di kawasan Jalan Tembalang, Semarang, Jateng, meningkat. Kaligrafi fiberglass buatan Semarang kini telah tersebar di sejumlah kota besar."
"Liputan6. com, Jakarta : Seperti halnya di Stasiun Gambir, Jakarta Pusat, arus mudik juga masih mengalir di beberapa terminal di Ibu Kota pada Sabtu ( 7/12 ) atau H+2. Ini terjadi karena banyak orang yang memilih mudik setelah Lebaran agar tak berdesak-desakan. Apalagi, sebagian besar pekerja maupun pegawai masih libur hingga Selasa mendatang, menyusul perpanjangan libur yang ditetapkan pemerintah. Sedangkan arus balik kemungkinan bakal mencapai puncak pada Senin dan Selasa pekan depan [ baca : Ribuan Pemudik Masih Mengantre di Gambir ]. Di Terminal Pulogadung, Jakarta Timur, misalnya. Antrean calon penumpang masih berlangsung dengan tujuan Purwakarta, Jawa Barat dan Pekalongan, Jawa Tengah, serta beberapa daerah lainnya di Jateng. Hari ini, jumlah penumpang yang berangkat dari terminal bus antarkota itu mencapai lebih dari 3. 200 orang. Sedangkan jumlah penumpang yang datang atau arus balik hanya tercatat sekitar 1. 200 orang. Pemandangan serupa juga tampak di Terminal Kampung Rambutan, Jaktim. Para pemudik umumnya hendak berpergian ke Karangpucung, Tasik, Garut, dan berbagai daerah di Jawa Barat. Masih maraknya orang yang hendak pulang kampung itu menyebabkan pengelola terminal menyiapkan 19 bus tambahan. Meski pemudik masih memadati beberapa stasiun dan terminal di Ibu Kota, suasana berbeda justru tampak di penyeberangan Selat Sunda. Pada hari kedua Lebaran, arus balik yang melintas di Pelabuhan Bakauheni, Lampung, menuju Pelabuhan Merak, Banten, belum melonjak atau lancar. Bahkan, rata-rata feri hanya terisi dua pertiga dari kapasitas angkut. Menurut jajaran Angkutan Sungai Danau dan Penyeberangan setempat, puncak arus balik baru akan terjadi pada H+3 dan H+4. Selain arus balik, ternyata banyak keluarga yang memanfaatkan waktu liburan ke sejumlah pantai di Lampung. Itulah sebabnya, ASDP Cabang Merak menyiapkan tujuh unit kapal motor cepat dan 15 feri. Kendati demikian, hingga petang tadi, tak tampak antrean calon penumpang di loket maupun kendaraan di empat dermaga yang ada. Suasana lancar juga tampak di jalur Pantai Utara Jawa di kawasan Jatibarang, Indramayu, dan Cirebon, Jawa Barat. Arus balik mudik juga belum tampak memadati jalur tersebut. Umumnya, para pemudik bersama keluarga masing-masing memanfaatkan sisa liburan dengan berekreasi di sejumlah pantai di sekitar kawasan tersebut. Sedangkan kemacetan dilaporkan hanya terjadi di kawasan Pasarminggu, Palimanan. Arus balik juga belum padat di Dermaga Kamal dan Ujung, Surabaya, Jawa Timur. Puncak arus balik di dua penyeberangan dari Pulau Madura itu diperkirakan terjadi pada Senin pekan depan. Itulah sebabnya, jajaran ASDP Cabang Surabaya menyiapkan 16 feri mengantisipasi lonjakan arus balik. Sementara lalu lintas dari Mojokerto menuju Jombang, Jatim, dilaporkan macet sepanjang tiga kilometer. Kemacetan itu menyusul perbaikan sebuah jembatan dan aktivitas pasar tumpah di Mojokerto. Sejauh ini, jajaran Kepolisian Resor Mojokerto berupaya mengalihkan sejumlah kendaraan agar memanfaatkan jalan alternatif. ( ANS ).","Meski memasuki H+2, ribuan pemudik masih mengantre di Terminal Pulogadung dan Kampung Rambutan, Jakarta Timur. Arus balik di Merak, Banten, dan Jatibarang, Jawa Barat, lancar."
"Liputan6. com, Jakarta : Selama ini biaya pendidikan di Tanah Air memang masih mahal dan belum merata dirasakan masyarakat. Tak heran, kini sejumlah orang mau mendedikasikan hidupnya membuat sekolah dengan biaya murah. Tapi biaya operasional sekolah murah ini juga mengancam keberlangsungan lembaga pendidikan tersebut. Ini seperti dialami Taman Kanak-kanak Derap di Kelurahan Cipinang Besar Utara, Jakarta Timur. Lantaran kian bertambahnya biaya operasional, sekolah di perkampungan kumuh ini terancam bubar. Zidane, bocah berusia empat tahun bersyukur bisa bersekolah di TK Derap. Sama seperti Zidane, sebagian besar murid TK Derap adalah masyarakat menengah ke bawah dengan penghasilan orang tua tak lebih dari Rp 20 ribu per hari. Karena itu, untuk sekolah di sini, setiap bulan Zidane hanya membayar biaya administrasi sebesar Rp 10 ribu. TK Derap enam tahun lalu didirikan untuk anak-anak keluarga tak mampu. Tak ada biaya yang dipungut saat itu. Tapi seiring berjalannya waktu, murid di taman bermain ini terus bertambah dan dibutuhkan biaya operasional. Buntutnya, tiap orang tua kini dimintai bantuannya sebesar Rp 10 ribu tiap bulan. Biaya itu sudah termasuk makanan sehat untuk ke 85 siswa dan gaji delapan guru. Meski biaya operasional harian sudah terpenuhi, sekolah murah ini masih membutuhkan banyak biaya untuk melanjutkan keberadaan sekolah ini. Pada Juli mendatang, ruang kelas yang selama ini dipergunakan, sudah habis masa kontraknya. Bila pendiri sekolah ini tak mampu membayar, sekolah ini terpaksa akan dibubarkan. ( ORS/Vivi Waluyo dan Wisnumurti ).","Sejumlah sekolah murah terancam bubar menyusul kian meningkatnya biaya operasional lembaga pendidikan tersebut. TK Derap di Kelurahan Cipinang Besar Utara, Jaktim, satu di antara sekolah murah yang terancam bubar."
"Liputan6. com, Surabaya : Calon presiden dari Partai Golongan Karya membantah telah mempengaruhi sejumlah kiai Nahdlatul Ulama sehingga muncul fatwa yang melarang nahdlyin memilih capres perempuan. Wiranto enggan berkomentar lebih jauh karena situasi politik yang memanas pascakeluarnya fatwa. "" Kita tidak mungkin merekayasa para kiai, "" tegas Wiranto di Surabaya, Jawa Timur, Ahad ( 6/6 ). Tudingan Wiranto berada di balik fatwa memang bukan tanpa alasan. Dengan fatwa tersebut, sebagian besar nahdlyin diperkirakan akan menyalurkan suaranya kepada Wiranto yang berpasangan dengan Salahuddin Wahid yang berasal dari NU. Apalagi, Salahuddin berada di Pondok Pesantren Raudlatul Ulum, Kemesuk, Pasuruan, saat para kiai mengeluarkan fatwa tersebut [ baca : Kiai NU Jatim Menolak Presiden Wanita ]. Dalam waktu bersamaan, Pengurus Wilayah Nahdatul Ulama ( PWNU ) menggelar Pelatihan Manajemen Organisasi dan Pemantapan Ahlusunnah Waljamaah di Gedung Juang 45 Surabaya. Dalam acara itu, Ketua PWNU Jatim Ali Maschan Moesa yang tampil memberi pembekalan mengatakan, fatwa yang mengharamkan presiden perempuan tidak bisa diterapkan karena Indonesia bukan negara Islam. Selain itu, masalah presiden perempuan sudah selesai dibahas dalam Konferensi Besar Musyawarah Nasional Alim Ulama di Lombok, Nusatenggara Barat, 1997. Hasilnya, perkara pemimpin perempuan dianggap khilafiyah atau terdapat perbedaan. Namun, masalah jender ini dikesampingan karena pertimbangan kepentingan umatlah yang diutamakan. Karena itu, Ali mengajak warga NU memilih capres dan cawapres secara jernih tanpa dipengaruhi siapa pun. Sementara Ketua Pengurus Cabang NU Surabaya Kholid Marzuki mengatakan, hingga kini tak ada tauziah atau nasihat dari Pengurus Besar NU yang mengarahkan warganya memilih capres tertentu. Cholid meminta warganya tidak bingung menghadapi fatwa sebagian kiai NU itu. Secara pribadi, Cholid mengaku mendukung Hasyim Muzadi sebagai cawapres mendampingi capres Megawati Sukarnoputri dari Partai Demokrasi Indonesia Perjuangan. ( ZAQ/Tim Liputan 6 SCTV ).",""" Kita tidak mungkin merekayasa para kiai, "" tegas Wiranto, capres Golkar menanggapi tudingan berada di balik fatwa sejumlah kiai yang melarang nahdlyin memilih capres perempuan."
"Liputan6. com, Balikpapan : Kartika dan Layla, dua alumni Sekolah Menengah Kejuruan Kartika, ditangkap Kepolisian Resot Kota Balikpapan, Kalimantan Timur, Rabu ( 25/6 ). Keduanya langsung diperiksa di ruang perlindungan Perempuan dan anak. Kartika dan Lalya merupakan dua pelaku kekerasan di Balikpapan yang sempat terekam dalam video telepon seluler [ baca : Video Geng Sekolah Beredar di Balikpapan ]. Menurut polisi, perkelahian itu terjadi pada 2007 silam saat keduanya berstatus pelajar. Perkelahian akibat salah paham itu terjadi di Kompleks Perumahan Pertamina Balikpapan. Adalah Bayu, teman Kartika dan Layla, yang merekam video perkelahian itu. Sebelumnya, kepala SMK Kartika membantah rekaman perkelahian itu adalah siswa di sekolah tersebut. ( BOG/Imron Rosyadi ).","Kartika dan Layla, pelaku kekerasan di Balikpapan, Kalimantan Timur, yang sempat terekam telepon seluler akhirnya ditangkap polisi. Kini, dua alumni Sekolah Menengah Kejuruan Kartika itu sedang menjalani pemeriksaan."
"RUMAH Produksi Bintang Grup menggelar pesta ulang tahun di sebuah kafe di Kemang, Jakarta Selatan, Ahad ( 7/9 ). Ilham Bintang, pemimpin umum Bintang Grup memanfaatkan kesempatan itu untuk meluncurkan sebuah buku berjudul Salam dari Meruya. Wartawan senior Rosihan Anwar juga. Kumpulan tulisannya yang bertajuk Halo Selebriti diluncurkan. Ada sejumlah artis hadir meramaikan pesta ultah tersebut. Di antaranya Ratu Ngebor Inul Daratista, Alam, Krisdayanti, Vetty Vera, serta Reza yang berduet dengan Zahwa, putri sulungnya.","RUMAH Produksi Bintang Grup menggelar pesta ulang tahun di sebuah kafe di Kemang, Jakarta Selatan, Ahad ( 7/9 ). Ilham Bintang, pemimpin umum Bintang Grup memanfaatkan kesempatan itu untuk meluncurkan sebuah buku berjudul Salam dari Meruya. Wartawan senior Rosihan Anwar juga. Kumpulan tulisannya yang bertajuk Halo Selebriti diluncurkan. Ada sejumlah artis hadir meramaikan pesta ultah tersebut. Di antaranya Ratu Ngebor Inul Daratista, Alam, Krisdayanti, Vetty Vera, serta Reza yang..."
"Tidak ada trauma yang membekas pada Cristiano Ronaldo. Pascakecelakaan tragis yang dialaminya di jalan raya, Ronaldo tetap mengendarai mobilnya sendiri. Bahkan dengan aksinya ia menyeringai kepada para juru foto saat melintasi wilayah dekat tempatnya mengalami kecelakaan 24 jam sebelumnya. Kendaraan yang kini ditunggangi bintang Manchester United itu tidak kalah ekslusif. CR7 mengendarai Bentley, sedan mewah yang spesifikasinya lebih kalem di jalan untuk mengantarnya ke pusat latihan tim pada Kamis waktu setempat. Bandingkan dengan Ferrari, mobil sportnya yang ringsek setelah menabrak pembatas jalan ( Baca : Ronaldo Lolos dari Kecelakaan Mobil ). Mengenai kecelakaan tunggal kemarin, The Sun melansir bahwa Ronaldo menyalahkan tumpahan oli di jalan. Kecelakaan yang membuat mobil mewahnya yang beru berusia dua hari mengalami kerusakan parah. Untungnya tidak ada masalah cedera yang menyambangi peraih Ballon d Or itu. Sementara itu pasca kecelakaan yang menimpa Ronaldo, bos MU, Sir Alex Ferguson mewanti-wanti para pemain multi-miliunernya untuk berhati-hati ketika mengendarai mobil. Salah seorang sumber The Sun menuturkan bahwa manajer berusia 67 tahun itu berkata, Jangan ngebut di jalan. Ronaldo, 23 tahun, emoh menunjukkan batang hidungnya selepas mengalami kecelakaan ketika melewati salah satu terowongan di perlintasan Bandara Internasional Manchester. Mobil Ferrari serie terbaru miliknya, 599 GTB Fiorano mengalami kecelakaan yang diindikasi sedang digeber 200 mil per jam ( mph ) atau 321 km per jam ( kph ). Sedangkan di zona tersebut limit kecepatan maksimal yakni 50 mph atau 80, 5 kph. Berapa sekiranya harga Ferrari nahas tersebut ? Tunggangan pemain bergaji 110 ribu pound ( 1, 76 miliar ) per pekan itu sampai harus merogoh 316 ribu pound ( Rp 5 miliar ). Polisi sendiri kini terus melakukan penyelidikan atas insiden yang terjadi ketika Ronaldo sedang berkendara dari rumahnya menuju pusat latihan MU. Sumber lain menyebutkan : “ Melihat dirinya menyeringai ketika berkendara terasa aneh, mengingat sehari sebelumnya ia bisa saja terbunuh akibat kecelakaan yang dialami. ” Karena usia mobilnya masih sangat baru, Ronaldo tidak perlu khawatir. Ia ditenggarai akan menerima mobil serupa dari salah pabrikan mobil mewah asal Italia tersebut. Gara-gara tumpahan oli, Ronaldo ?","Tidak ada trauma di diri Cristiano Ronaldo. Sekitar 24 jam seusai mengalami kecelakaan hebat di jalan, Ronaldo tetap mengendarai mobilnya sendiri. Setelah mobil sportnya ringsek, winger Manchester United itu mengendarai mobil yang lebih kalem di jalan."
